;s1T;s1mc;s2T;s2mcs;s3T;s3mcs;s4T;s4mcs
216;12.104438494318176;23.60035393453065;10.833233049242423;21.07943198439636;10.21418555871212;25.68526295254598;14.156484706439398;19.3482934480595
217;10.159530909531;30.5183286257254;9.254993916086978;26.430226332427235;11.030669623698746;28.141499515572022;8.070209424604485;33.87326752937858
218;13.7091699810606;19.899996716091714;12.379488210227272;21.81181663612316;14.989755823863634;17.22884524619232;10.637838778409094;27.065644114872846
219;13.7091699810606;22.759306414963692;12.379488210227272;23.482963256468185;14.989755823863634;17.97369952001503;10.637838778409094;29.858491345115386
220;12.104438494318176;21.554693844382466;10.833233049242423;22.170232491363002;10.21418555871212;26.314975492713504;14.156484706439398;21.546025055242744
221;4.111294994755449;39.1698319517625;3.931162894250925;38.69817265761671;4.28477606579089;41.14786704205798;3.695221500319275;40.14260353655636
222;3.7233960970062747;41.15978435514786;3.5897231398709564;38.051321772052596;3.8521334386980577;40.25879153516338;3.4146350586842256;43.11342260291845
223;6.43175358618939;33.90957325439904;5.919847249941778;34.303677370435075;5.670560768304846;38.1177521114605;7.258099526042698;35.030967364223734
224;12.104438494318176;22.15110994967415;10.833233049242423;23.49517797084309;10.21418555871212;28.54154254985201;14.156484706439398;20.777470701500228
225;12.104438494318176;19.948659788879855;10.833233049242423;23.302186954144638;10.21418555871212;28.425989114094634;14.156484706439398;23.44644429670038
226;11.492281562885488;28.58051834109931;10.428119331940437;28.351418175253716;12.517151661345116;25.607935633471396;9.034253833035187;29.67267773508702
227;13.75783352272727;19.657300384788712;13.659121259469709;20.804988664344414;14.205410416666668;15.456039770320599;4.9111051136363635;32.32062513801259
228;13.7091699810606;25.342283053010178;12.379488210227272;22.576806977671975;14.989755823863634;23.317034528996892;10.637838778409094;29.054891453135074
229;13.7091699810606;22.242773965094848;12.379488210227272;22.914705822531815;14.989755823863634;21.648481790018938;10.637838778409094;28.260460367068724
230;3.0539724386191676;34.66500307781459;2.9941882027003364;35.88786792944779;2.9650746700591837;38.29415165042164;3.150479274187739;35.39690097561986
231;13.7091699810606;21.052015756189515;12.379488210227272;18.927499983191908;14.989755823863634;14.498009821573426;10.637838778409094;28.161565491104636
232;3.6981497399248586;36.26533592498197;3.55214121009049;41.41024710139268;3.4810384514135886;37.241585458902435;3.9338443333870106;38.32848803034356
233;13.7091699810606;22.379753808684764;12.379488210227272;22.634533774694525;14.989755823863634;18.48547639564749;10.637838778409094;28.851606046468532
234;4.012434314607955;39.59218588725841;3.8441428832551114;40.23668465011353;4.174511910302484;43.468396913594255;3.623710684946598;41.948323563581795
235;13.7091699810606;21.946797024107827;12.379488210227272;20.005369307415297;14.989755823863634;19.640300294705195;10.637838778409094;29.584132796089367
236;13.75783352272727;21.420997528378177;13.659121259469709;21.67901408060803;14.205410416666668;20.117379378933457;4.9111051136363635;32.53183113542067
237;13.75783352272727;19.14032797741533;13.659121259469709;19.594806416258894;14.205410416666668;21.97965419759819;4.9111051136363635;31.012898298800618
238;8.54015653956512;33.42811344175977;7.8295740699911605;32.16732070383109;9.224502125584657;33.77512255158082;6.898835917795664;35.61415895658052
239;13.75783352272727;19.633387159450212;13.659121259469709;19.62193936929451;14.205410416666668;20.465101025562333;4.9111051136363635;30.60224780388222
240;13.7091699810606;22.157167338964108;12.379488210227272;23.440827072966535;14.989755823863634;20.72730452128201;10.637838778409094;27.91704048543207
241;9.101396866568816;33.166698050537455;8.323593930610068;30.56563267309903;9.850480933243789;33.924251329846264;7.304808781265587;37.79558261374963
242;13.75783352272727;22.183677094735145;13.659121259469709;18.55466478627638;14.205410416666668;19.730448381878936;4.9111051136363635;31.487645551466414
243;13.75783352272727;21.04890788609183;13.659121259469709;21.84917270771601;14.205410416666668;18.522511918998394;4.9111051136363635;30.902453141959423
244;13.7091699810606;23.086695061454066;12.379488210227272;21.452213540013247;14.989755823863634;18.88452527072206;10.637838778409094;28.724199030236502
245;6.155645169188075;34.03467059226137;5.730658653262544;36.530351383649425;6.564939879858092;36.067195836687596;5.174001007630378;35.47272245254038
246;12.104438494318176;21.804977748304857;10.833233049242423;22.153614040822077;10.21418555871212;27.82250355475159;14.156484706439398;21.753438559801545
247;12.104438494318176;22.853710680719807;10.833233049242423;26.30098827923215;10.21418555871212;25.71362571219387;14.156484706439398;23.03705996994739
248;13.75783352272727;17.485828456585566;13.659121259469709;20.3920042279813;14.205410416666668;21.657410175514304;4.9111051136363635;29.207836476581683
249;13.75783352272727;19.119979501065618;13.659121259469709;19.579382388522546;14.205410416666668;20.395851227930553;4.9111051136363635;31.83607345878987
250;13.75783352272727;19.702487107923066;13.659121259469709;16.40472626233124;14.205410416666668;19.16454171956986;4.9111051136363635;31.656145988188428
251;13.75783352272727;20.497681698334997;13.659121259469709;22.755962375374413;14.205410416666668;20.60072316764112;4.9111051136363635;30.2662855009193
252;13.75783352272727;20.32037933044014;13.659121259469709;22.65532180946937;14.205410416666668;22.460582078947763;4.9111051136363635;31.359338707848313
253;13.7091699810606;22.803555747051895;12.379488210227272;24.743035636721746;14.989755823863634;18.874654847144356;10.637838778409094;26.25387099749802
254;2.741447705636385;41.767393482788854;2.7253839537876328;38.25079648700562;2.7569183345124366;43.92116979524941;2.7043432620266903;39.71714646971593
255;2.7561313047282128;39.13780579430947;2.738308879577366;41.027626209227805;2.7732956712956263;39.987908401214675;2.714964634872755;42.79311110536101
256;13.75783352272727;19.346108260268448;13.659121259469709;19.357579712292257;14.205410416666668;19.226909333768695;4.9111051136363635;30.084906351161635
257;13.75783352272727;19.098755336284487;13.659121259469709;23.37949031235908;14.205410416666668;18.34887941084988;4.9111051136363635;32.51575375730942
258;13.75783352272727;20.731755669063272;13.659121259469709;17.325922198801095;14.205410416666668;21.275574920240327;4.9111051136363635;28.432428036203085
259;13.75783352272727;20.992916319259088;13.659121259469709;17.683509101309593;14.205410416666668;19.096420072242125;4.9111051136363635;30.570297682874774
260;13.75783352272727;18.335281364023146;13.659121259469709;23.236950096005142;14.205410416666668;20.441984763417775;4.9111051136363635;28.515705400158364
261;12.104438494318176;22.516962424001445;10.833233049242423;22.79053804598341;10.21418555871212;25.32630335652636;14.156484706439398;22.064066414227593
262;11.93372071538627;28.902571565081892;10.816686756798218;25.12328215949723;13.00951035518979;22.001523808679373;9.353568586743712;30.642024821878632
