;refmc;t+10mcs;t-10mcs;afp+15;afp-15
101;35.01967399;38.74114009;39.55378015;45.37888503;37.2032274
102;34.38915678;36.9524267;40.68707335;41.71333433;36.4119915
103;19.52955811;10;34.02157269;10;26.08962203
104;21.58888067;10;30.43702189;11.62657902;32.69411546
105;21.0709421;10;28.03466639;10.00000153;27.5415665
106;32.80386154;24.16872326;36.22150051;33.85991136;32.79186538
107;32.87915587;36.39040608;34.33822149;39.34367222;36.8778631
108;36.00602398;37.53493572;34.90653872;37.83655753;36.61909615
109;34.02791213;35.37723218;37.4095956;40.52260192;37.30292027
110;21.55740425;10;29.2108955;10;29.09278914
111;32.28310261;28.20363527;34.85479441;34.51717004;34.59429946
112;32.33231703;34.03286187;37.66356366;39.40390987;37.03465257
113;21.35165177;10;27.89778829;10.56087127;31.22009084
114;18.54994333;10;29.34702881;11.46820076;27.74672207
115;21.4329605;10;28.23468716;10.00000002;29.62392538
116;38.88137947;36.5361973;39.78346508;35.3457325;33.3149682
117;21.67580946;10;33.27316709;10.00000304;29.42080976
118;19.53085368;10;28.11308983;11.74078377;30.77065214
119;36.72129245;43.31176045;35.31571917;40.19992149;36.941055
120;38.20592805;37.98314514;43.19105531;42.35743836;37.41900155
121;37.90342785;39.81893322;37.4566965;41.56663041;37.27844373
122;38.18919446;34.75204359;36.92027131;39.9855729;33.18208227
123;23.90956616;10;31.4333644;10.31526184;26.97468514
124;19.51255372;10;34.55405899;11.96520461;29.88869837
125;23.02640301;10;30.25593374;10.00076965;28.97953805
126;34.1912204;29.8127302;37.71938649;32.32752252;30.21693212
127;22.37646924;10;30.47870942;10.00001861;26.88100133
128;22.15278542;10;30.06231154;10;29.04309786
129;20.51597143;10;32.7209676;10.08083859;32.179253
130;34.65059961;37.23747093;39.65001313;37.5210008;40.54506211
131;36.81548051;35.55517639;36.10296323;36.60265506;38.84114063
132;19.31062258;10;30.3233125;11.94541164;29.14787808
133;23.05553758;10;35.40259856;10.00000001;26.3994663
134;21.31423397;10;29.51067644;10;27.82613052
135;18.86926848;10;29.32731708;10;27.0467269
136;33.41060163;29.87893177;34.67686787;33.13795312;32.97871644
